game,subject,session,plv_method,n_trials,n_left_trials,n_right_trials,n_hit,n_wrong_paddle,n_timeout_close_strong,n_timeout_close_weak,n_timeout_wrong,n_close_strong_early,n_close_weak_early,n_wrong_early,n_timed_out,n_timed_out_close_strong,n_timed_out_close_weak,n_timed_out_wrong,hit_rate,broad_acc,liberal_acc,hit_rate_left,hit_rate_right,broad_acc_left,broad_acc_right,liberal_acc_left,liberal_acc_right,mean_dist_final,mean_dist_trajectory,mean_min_dist,mean_frac_correct_side,mean_reversals,mean_reversals_wrong,mean_reversals_correct,mean_peak_excursion,mean_dist_final_left,mean_dist_final_right,mean_frac_correct_left,mean_frac_correct_right,mean_reaction_s,median_reaction_s,n_no_reaction,mean_trial_duration_s,mean_hit_duration_s,n_fighting,frac_fighting,n_fighting_timeout,n_fighting_wrong_paddle
graph_ml,Subject_002,Session_002,N/A,100,50,50,38,41,3,4,14,0,0,0,22,3,4,14,0.38,0.41,0.45,0.06,0.7,0.06,0.76,0.12,0.78,355.44,356.5182063333883,194.84,0.3673739220228361,3.55,2.14,1.41,160.44,596.84,114.04,0.17193087581009275,0.5628169682355794,1.9963470319634702,0.8833333333333333,27,6.263000000000001,4.870614035087719,1,0.01,0,1
graph_ml,Subject_002,Session_003,N/A,100,50,50,42,39,4,5,10,0,0,0,24,4,5,10,0.42,0.46,0.51,0.06,0.78,0.06,0.86,0.1,0.92,336.44,343.0945121770432,178.92,0.40894676411176945,3.88,1.99,1.89,176.32,586.84,86.04,0.1748558358983373,0.6430376923252017,2.458433734939759,1.5666666666666667,17,6.269499999999999,5.180555555555555,0,0.0,0,0
graph_ml,Subject_002,Session_004,N/A,60,30,30,25,22,1,2,10,0,0,0,15,1,2,10,0.4166666666666667,0.43333333333333335,0.4666666666666667,0.6666666666666666,0.16666666666666666,0.7,0.16666666666666666,0.7666666666666667,0.16666666666666666,329.53333333333336,355.92013638554926,194.46666666666667,0.33606589862101094,2.95,1.95,1.0,160.86666666666667,115.4,543.6666666666666,0.5104476870133204,0.16168411022870147,2.0765873015873018,1.275,18,6.168333333333334,5.045999999999999,0,0.0,0,0
graph_ml,Subject_002,Session_005,N/A,100,50,50,46,32,6,9,7,0,0,0,32,6,9,7,0.46,0.52,0.61,0.32,0.6,0.34,0.7,0.44,0.78,280.9,329.1004609984216,134.98,0.5617063672736339,7.17,3.67,3.5,220.24,373.32,188.48,0.43588796691480125,0.6875247676324665,0.7138257575757575,0.0,12,6.694333333333333,4.9217391304347835,3,0.03,2,1
graph_ml,Subject_003,Session_002,N/A,100,50,50,45,38,6,7,4,0,0,0,20,6,7,4,0.45,0.51,0.58,0.06,0.84,0.1,0.92,0.16,1.0,313.48,349.2505656300723,166.76,0.518510148917814,18.27,9.45,8.82,188.5,570.24,56.72,0.20100127188649564,0.8360190259491325,0.5817829457364341,0.0,14,6.401000000000002,5.518518518518518,24,0.24,10,17
graph_ml,Subject_003,Session_004,N/A,100,50,50,61,28,5,4,2,0,0,0,15,5,4,2,0.61,0.66,0.7,0.88,0.34,0.92,0.4,0.94,0.46,224.1,303.32098529524507,110.08,0.6425591357331184,5.51,2.49,3.02,245.22,46.4,401.8,0.8405766451252888,0.44454162634094807,0.5594117647058824,0.0,15,5.513000000000001,4.835792349726774,0,0.0,0,0
graph_ml,Subject_003,Session_005,N/A,100,50,50,52,46,0,0,2,0,0,0,7,0,0,2,0.52,0.52,0.52,0.04,1.0,0.04,1.0,0.04,1.0,332.46,340.2609516131573,162.66,0.5488183882620218,3.73,2.08,1.65,192.86,634.92,30.0,0.1468861503652458,0.9507506261587976,0.2810810810810811,0.0,26,4.306166666666666,3.460897435897436,1,0.01,1,1
graph_ml,Subject_005,Session_002,N/A,100,50,50,32,41,4,12,11,0,0,0,34,4,12,11,0.32,0.36,0.48,0.12,0.52,0.14,0.58,0.28,0.68,368.64,348.779625689333,155.68,0.5056161561509199,8.64,4.21,4.43,199.52,485.4,251.88,0.4381725547782257,0.5730597575236139,0.8348148148148147,0.0,10,7.005999999999998,5.319791666666666,1,0.01,1,1
graph_ml,Subject_006,Session_002,N/A,100,50,50,37,38,4,11,10,0,0,0,35,4,11,10,0.37,0.41,0.52,0.22,0.52,0.28,0.54,0.4,0.64,338.4,364.987849855721,177.46,0.4522553902794469,16.68,9.38,7.3,177.8,409.36,267.44,0.3732928684304882,0.5312179121284055,0.8505813953488371,0.0,14,7.3985,6.1954954954954955,27,0.27,20,13
graph_ml,Subject_006,Session_003,N/A,100,50,50,37,36,6,10,11,0,0,0,36,6,10,11,0.37,0.43,0.53,0.38,0.36,0.46,0.4,0.56,0.5,327.64,343.77055630659066,163.94,0.514083404526875,11.71,5.99,5.72,191.32,291.64,363.64,0.5228312073509331,0.5053356017028169,0.7952941176470589,0.0,15,7.011333333333336,5.404054054054055,8,0.08,7,5
