trial_id,label,label_name,hit,timed_out,outcome,fighting,final_x,dist_final,mean_dist,min_dist,frac_correct_side,n_reversals,n_reversals_wrong,n_reversals_correct,peak_excursion,n_frames,trial_duration_s,reaction_frames,reaction_s,game,subject,session
0,1,RIGHT,False,True,timeout_wrong,False,400.0,370.0,370.0,370.0,0.0,0,0,0,0.0,599,9.983333333333333,,,graph_neurofeedback,Subject_002,Session_003
1,1,RIGHT,True,True,hit,False,740.0,30.0,277.71812080536915,30.0,0.8959731543624161,22,4,18,340.0,596,9.933333333333334,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
2,1,RIGHT,True,False,hit,False,740.0,30.0,185.53696498054475,30.0,1.0,18,0,18,340.0,514,8.566666666666666,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
3,0,LEFT,True,False,hit,False,60.0,0.0,263.94174757281553,0.0,0.5898058252427184,24,13,11,340.0,412,6.866666666666666,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
4,1,RIGHT,True,False,hit,False,740.0,30.0,240.92,30.0,0.7028571428571428,13,7,6,340.0,350,5.833333333333333,104.0,1.7333333333333334,graph_neurofeedback,Subject_002,Session_003
5,1,RIGHT,True,False,hit,False,740.0,30.0,192.91919191919192,30.0,0.9797979797979798,9,1,8,340.0,198,3.3,4.0,0.06666666666666667,graph_neurofeedback,Subject_002,Session_003
6,0,LEFT,True,False,hit,False,60.0,0.0,187.67256637168143,0.0,0.8407079646017699,9,3,6,340.0,226,3.7666666666666666,36.0,0.6,graph_neurofeedback,Subject_002,Session_003
7,1,RIGHT,True,False,hit,False,740.0,30.0,221.27184466019418,30.0,1.0,6,0,6,340.0,206,3.433333333333333,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
8,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,575.0141843971631,372.0,0.0,14,14,0,0.0,282,4.7,,,graph_neurofeedback,Subject_002,Session_003
9,0,LEFT,True,False,hit,False,60.0,0.0,170.85714285714286,0.0,1.0,6,0,6,340.0,196,3.2666666666666666,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
10,1,RIGHT,True,False,hit,False,740.0,30.0,205.40816326530611,30.0,1.0,6,0,6,340.0,196,3.2666666666666666,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
11,0,LEFT,True,False,hit,False,60.0,0.0,226.42424242424244,0.0,0.9053030303030303,14,2,12,340.0,528,8.8,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
12,0,LEFT,False,True,wrong_paddle,True,720.0,660.0,479.1933333333333,252.0,0.15166666666666667,24,21,3,88.0,600,10.0,110.0,1.8333333333333333,graph_neurofeedback,Subject_002,Session_003
13,1,RIGHT,True,False,hit,False,740.0,30.0,260.2842105263158,30.0,0.8078947368421052,12,9,3,340.0,380,6.333333333333333,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
14,0,LEFT,True,False,hit,False,60.0,0.0,169.0,0.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
15,0,LEFT,True,False,hit,False,60.0,0.0,302.0548523206751,0.0,0.47257383966244726,17,5,12,340.0,474,7.9,250.0,4.166666666666667,graph_neurofeedback,Subject_002,Session_003
16,1,RIGHT,True,False,hit,False,740.0,30.0,237.176,30.0,0.996,4,1,3,340.0,250,4.166666666666667,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
17,0,LEFT,False,True,wrong_paddle,True,714.0,654.0,444.2938230383973,216.0,0.20534223706176963,16,15,1,124.0,599,9.983333333333333,294.0,4.9,graph_neurofeedback,Subject_002,Session_003
18,0,LEFT,False,False,wrong_paddle,True,740.0,680.0,446.4078212290503,248.0,0.2709497206703911,21,18,3,92.0,358,5.966666666666667,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
19,0,LEFT,False,True,timeout_wrong,False,420.0,360.0,243.94983277591973,120.0,0.979933110367893,19,1,18,220.0,598,9.966666666666667,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
20,1,RIGHT,False,True,timeout_close_weak,False,438.0,332.0,348.5829145728643,188.0,0.6532663316582915,30,11,19,182.0,597,9.95,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
21,0,LEFT,True,False,hit,False,60.0,0.0,170.36363636363637,0.0,1.0,2,0,2,340.0,176,2.933333333333333,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
22,0,LEFT,True,False,hit,False,60.0,0.0,170.04191616766468,0.0,1.0,6,0,6,340.0,334,5.566666666666666,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
23,1,RIGHT,True,False,hit,False,740.0,30.0,425.8532423208191,30.0,0.3174061433447099,17,13,4,340.0,586,9.766666666666667,6.0,0.1,graph_neurofeedback,Subject_002,Session_003
24,0,LEFT,True,False,hit,False,60.0,0.0,170.27753303964758,0.0,0.8193832599118943,35,7,28,340.0,454,7.566666666666666,82.0,1.3666666666666667,graph_neurofeedback,Subject_002,Session_003
25,0,LEFT,False,True,timeout_close_strong,False,144.0,84.0,289.8829431438127,84.0,0.6739130434782609,21,10,11,256.0,598,9.966666666666667,138.0,2.3,graph_neurofeedback,Subject_002,Session_003
26,1,RIGHT,True,False,hit,False,740.0,30.0,192.89714285714285,30.0,0.9971428571428571,20,1,19,340.0,350,5.833333333333333,0.0,0.0,graph_neurofeedback,Subject_002,Session_003
27,1,RIGHT,True,False,hit,False,740.0,30.0,259.3709677419355,30.0,0.7016129032258065,7,5,2,340.0,248,4.133333333333334,74.0,1.2333333333333334,graph_neurofeedback,Subject_002,Session_003
28,1,RIGHT,False,True,timeout_close_strong,True,726.0,44.0,366.62771285475793,40.0,0.3722871452420701,22,15,7,330.0,599,9.983333333333333,230.0,3.8333333333333335,graph_neurofeedback,Subject_002,Session_003
29,0,LEFT,True,False,hit,False,60.0,0.0,281.45756457564573,0.0,0.6291512915129152,23,12,11,340.0,542,9.033333333333333,10.0,0.16666666666666666,graph_neurofeedback,Subject_002,Session_003
30,1,RIGHT,True,False,hit,False,740.0,30.0,314.01657458563534,30.0,0.5359116022099447,15,7,8,340.0,362,6.033333333333333,168.0,2.8,graph_neurofeedback,Subject_002,Session_003
31,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,graph_neurofeedback,Subject_002,Session_003
