trial_id,label,label_name,hit,timed_out,outcome,fighting,final_x,dist_final,mean_dist,min_dist,frac_correct_side,n_reversals,n_reversals_wrong,n_reversals_correct,peak_excursion,n_frames,trial_duration_s,reaction_frames,reaction_s,game,subject,session
0,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,452.2393822393822,340.0,0.0,1,1,0,0.0,259,4.316666666666666,,,neurofeedback,Subject_000,Session_001
1,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,511.0,342.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,neurofeedback,Subject_000,Session_001
2,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,470.5590551181102,286.0,0.32677165354330706,1,0,1,84.0,254,4.233333333333333,0.0,0.0,neurofeedback,Subject_000,Session_001
3,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,412.7959183673469,220.0,0.41836734693877553,5,0,5,120.0,294,4.9,0.0,0.0,neurofeedback,Subject_000,Session_001
4,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,511.0,342.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,neurofeedback,Subject_000,Session_001
5,1,RIGHT,True,False,hit,False,740.0,30.0,199.0,30.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,neurofeedback,Subject_000,Session_001
6,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,511.0,342.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,neurofeedback,Subject_000,Session_001
7,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,511.0,342.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,neurofeedback,Subject_000,Session_001
8,1,RIGHT,True,False,hit,False,740.0,30.0,183.43939393939394,30.0,1.0,16,0,16,340.0,264,4.4,0.0,0.0,neurofeedback,Subject_000,Session_001
9,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,368.86324786324786,106.0,0.5790598290598291,17,12,5,264.0,468,7.8,0.0,0.0,neurofeedback,Subject_000,Session_001
10,1,RIGHT,True,False,hit,False,740.0,30.0,244.15315315315314,30.0,0.7657657657657657,8,8,0,340.0,222,3.7,52.0,0.8666666666666667,neurofeedback,Subject_000,Session_001
11,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,507.02197802197804,342.0,0.0,8,8,0,0.0,182,3.033333333333333,,,neurofeedback,Subject_000,Session_001
12,1,RIGHT,True,False,hit,False,740.0,30.0,224.13725490196077,30.0,1.0,20,0,20,340.0,204,3.4,0.0,0.0,neurofeedback,Subject_000,Session_001
13,1,RIGHT,True,False,hit,False,740.0,30.0,199.0,30.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,neurofeedback,Subject_000,Session_001
