Impedance measurement on 2026-02-02_16:50:36 (UTC+00:00)

Devices: HA-2025.03.05
Ch.no. 	Channel name 	Impedance values (kilo-ohm)
     1 	1            	channel not selected
     2 	2            	low impedance
     3 	3            	20.9
     4 	4            	68.3
     5 	5            	52.3
     6 	6            	24.5
     7 	7            	9.4
     8 	8            	10.5
     9 	9            	21.6
    10 	10           	18.8
    11 	11           	19.3
    12 	12           	20.7
    13 	13           	22.5
    14 	14           	22.4
    15 	15           	38.6
    16 	16           	11.3
    17 	17           	14.4
    18 	18           	13.3
    19 	19           	24.4
    20 	20           	17.4
    21 	21           	15.9
    22 	22           	18.6
    23 	23           	22.2
    24 	24           	36.5
    25 	25           	29.4
    26 	26           	14.7
    27 	27           	15.0
    28 	28           	19.9
    29 	29           	27.6
    30 	30           	54.0
    31 	31           	28.3
    32 	32           	27.1
    33 	33           	32.2
    34 	34           	26.6
    35 	35           	19.0
    36 	36           	17.0
    37 	37           	19.1
    38 	38           	29.5
    39 	39           	42.5
    40 	40           	33.1
    41 	41           	39.3
    42 	42           	41.7
    43 	43           	46.2
    44 	44           	22.7
    45 	45           	42.3
    46 	46           	41.6
    47 	47           	39.8
    48 	48           	67.2
    49 	49           	37.2
    50 	50           	38.2
    51 	51           	60.7
    52 	52           	40.6
    53 	53           	32.6
    54 	54           	20.7
    55 	55           	8.9
    56 	56           	116.8
    57 	57           	88.2
    58 	58           	37.6
    59 	59           	41.1
    60 	60           	47.9
    61 	61           	22.7
    62 	62           	6.9
    63 	63           	22.3
    64 	64           	29.7
    65 	65           	invalid impedance (couldn't be measured, calculated or estimated)
    66 	66           	invalid impedance (couldn't be measured, calculated or estimated)
    67 	67           	invalid impedance (couldn't be measured, calculated or estimated)
    68 	68           	invalid impedance (couldn't be measured, calculated or estimated)
    69 	69           	invalid impedance (couldn't be measured, calculated or estimated)
    70 	70           	invalid impedance (couldn't be measured, calculated or estimated)
    71 	71           	invalid impedance (couldn't be measured, calculated or estimated)
    72 	72           	invalid impedance (couldn't be measured, calculated or estimated)
    73 	73           	invalid impedance (couldn't be measured, calculated or estimated)
    74 	74           	invalid impedance (couldn't be measured, calculated or estimated)
    75 	75           	invalid impedance (couldn't be measured, calculated or estimated)
    76 	76           	invalid impedance (couldn't be measured, calculated or estimated)
    77 	77           	invalid impedance (couldn't be measured, calculated or estimated)
    78 	78           	invalid impedance (couldn't be measured, calculated or estimated)
    79 	79           	invalid impedance (couldn't be measured, calculated or estimated)
    80 	80           	invalid impedance (couldn't be measured, calculated or estimated)
