subject,decoder,mean_acc,stability,n_sessions
0,neurofeedback,0.5653325123152709,0.7335354796934452,7
2,neurofeedback,0.5900000000000001,0.7829449411407603,5
3,neurofeedback,0.6719999999999999,0.8544250345288582,5
5,neurofeedback,0.4575,0.9149926274169194,2
6,neurofeedback,0.40874999999999995,0.9449541284538339,4
10,neurofeedback,0.65,0.9782428682745303,2
11,neurofeedback,0.48,0.9705372174566985,2
12,neurofeedback,0.5066666666666667,0.8715840704467721,3
14,neurofeedback,0.58,0.7513412913901832,3
2,csp,0.485,0.9605184697913843,4
3,csp,0.5066666666666667,0.9698514756970303,3
6,csp,0.4766666666666666,0.9152142961507792,3
12,csp,0.505,0.9859978855238312,2
14,csp,0.49,0.9711384987329698,2
2,graph_ml,0.5091666666666667,0.8589429694128738,4
3,graph_ml,0.6,0.8472474768602641,3
6,graph_ml,0.5366666666666667,0.9612111925637594,3
12,graph_ml,0.5349999999999999,0.9074813557498945,2
14,graph_ml,0.505,0.9859978855238312,2
