Participant,Decoder,N,Mean,SD,Min,Max
P02,CSP,4,0.485,0.019,0.46,0.5
P02,Graph+ML,4,0.509,0.072,0.45,0.61
P03,CSP,3,0.507,0.015,0.49,0.52
P03,Graph+ML,3,0.6,0.092,0.52,0.7
P05,CSP,1,0.48,,0.48,0.48
P05,Graph+ML,1,0.48,,0.48,0.48
P06,CSP,3,0.477,0.04,0.43,0.5
P06,Graph+ML,3,0.537,0.021,0.52,0.56
P10,CSP,1,0.54,,0.54,0.54
P10,Graph+ML,1,0.83,,0.83,0.83
P11,CSP,1,0.6,,0.6,0.6
P11,Graph+ML,1,0.5,,0.5,0.5
P12,CSP,2,0.505,0.007,0.5,0.51
P12,Graph+ML,2,0.535,0.049,0.5,0.57
P14,CSP,2,0.49,0.014,0.48,0.5
P14,Graph+ML,2,0.505,0.007,0.5,0.51
