Participant,AR-PSD_S1,AR-PSD_S2,AR-PSD_S3,AR-PSD_S4,AR-PSD_S5,CSP_S2,CSP_S3,CSP_S4,CSP_S5,Graph+ML_S2,Graph+ML_S3,Graph+ML_S4,Graph+ML_S5
P00,0.82,,,,,,,,,,,,
P10,0.64,0.66,,,,0.54,,,,0.83,,,
P03,0.83,0.68,0.62,0.66,0.57,0.49,,0.52,0.51,0.58,,0.7,0.52
P14,0.7,0.62,0.42,,,0.48,0.5,,,0.51,0.5,,
P02,0.65,0.62,0.58,0.38,0.72,0.5,0.48,0.46,0.5,0.45,0.51,0.467,0.61
P08,0.53,,,,,,,,,,,,
P11,0.47,0.49,,,,0.6,,,,0.5,,,
P12,0.51,0.44,0.57,,,0.5,0.51,,,0.57,0.5,,
P07,0.47,,,,,,,,,,,,
P05,0.485,0.43,,,,0.48,,,,0.48,,,
P06,0.435,0.39,0.42,0.39,,0.43,0.5,0.5,,0.52,0.53,0.56,
P09,0.43,,,,,,,,,,,,
P13,0.43,,,,,,,,,,,,
P04,0.36,,,,,,,,,,,,
P01,0.345,,,,,,,,,,,,
