Impedance measurement on 2026-01-28_13:20:29 (UTC+00:00)

Devices: HA-2025.03.05
Ch.no. 	Channel name 	Impedance values (kilo-ohm)
     1 	1            	channel not selected
     2 	2            	invalid impedance (couldn't be measured, calculated or estimated)
     3 	3            	invalid impedance (couldn't be measured, calculated or estimated)
     4 	4            	invalid impedance (couldn't be measured, calculated or estimated)
     5 	5            	invalid impedance (couldn't be measured, calculated or estimated)
     6 	6            	invalid impedance (couldn't be measured, calculated or estimated)
     7 	7            	invalid impedance (couldn't be measured, calculated or estimated)
     8 	8            	invalid impedance (couldn't be measured, calculated or estimated)
     9 	9            	invalid impedance (couldn't be measured, calculated or estimated)
    10 	10           	invalid impedance (couldn't be measured, calculated or estimated)
    11 	11           	invalid impedance (couldn't be measured, calculated or estimated)
    12 	12           	invalid impedance (couldn't be measured, calculated or estimated)
    13 	13           	invalid impedance (couldn't be measured, calculated or estimated)
    14 	14           	invalid impedance (couldn't be measured, calculated or estimated)
    15 	15           	invalid impedance (couldn't be measured, calculated or estimated)
    16 	16           	invalid impedance (couldn't be measured, calculated or estimated)
    17 	17           	invalid impedance (couldn't be measured, calculated or estimated)
    18 	18           	invalid impedance (couldn't be measured, calculated or estimated)
    19 	19           	invalid impedance (couldn't be measured, calculated or estimated)
    20 	20           	invalid impedance (couldn't be measured, calculated or estimated)
    21 	21           	invalid impedance (couldn't be measured, calculated or estimated)
    22 	22           	invalid impedance (couldn't be measured, calculated or estimated)
    23 	23           	invalid impedance (couldn't be measured, calculated or estimated)
    24 	24           	invalid impedance (couldn't be measured, calculated or estimated)
    25 	25           	invalid impedance (couldn't be measured, calculated or estimated)
    26 	26           	invalid impedance (couldn't be measured, calculated or estimated)
    27 	27           	invalid impedance (couldn't be measured, calculated or estimated)
    28 	28           	invalid impedance (couldn't be measured, calculated or estimated)
    29 	29           	invalid impedance (couldn't be measured, calculated or estimated)
    30 	30           	invalid impedance (couldn't be measured, calculated or estimated)
    31 	31           	invalid impedance (couldn't be measured, calculated or estimated)
    32 	32           	invalid impedance (couldn't be measured, calculated or estimated)
    33 	33           	invalid impedance (couldn't be measured, calculated or estimated)
    34 	34           	invalid impedance (couldn't be measured, calculated or estimated)
    35 	35           	invalid impedance (couldn't be measured, calculated or estimated)
    36 	36           	invalid impedance (couldn't be measured, calculated or estimated)
    37 	37           	invalid impedance (couldn't be measured, calculated or estimated)
    38 	38           	invalid impedance (couldn't be measured, calculated or estimated)
    39 	39           	invalid impedance (couldn't be measured, calculated or estimated)
    40 	40           	invalid impedance (couldn't be measured, calculated or estimated)
    41 	41           	invalid impedance (couldn't be measured, calculated or estimated)
    42 	42           	invalid impedance (couldn't be measured, calculated or estimated)
    43 	43           	invalid impedance (couldn't be measured, calculated or estimated)
    44 	44           	invalid impedance (couldn't be measured, calculated or estimated)
    45 	45           	invalid impedance (couldn't be measured, calculated or estimated)
    46 	46           	invalid impedance (couldn't be measured, calculated or estimated)
    47 	47           	invalid impedance (couldn't be measured, calculated or estimated)
    48 	48           	invalid impedance (couldn't be measured, calculated or estimated)
    49 	49           	invalid impedance (couldn't be measured, calculated or estimated)
    50 	50           	invalid impedance (couldn't be measured, calculated or estimated)
    51 	51           	invalid impedance (couldn't be measured, calculated or estimated)
    52 	52           	invalid impedance (couldn't be measured, calculated or estimated)
    53 	53           	invalid impedance (couldn't be measured, calculated or estimated)
    54 	54           	invalid impedance (couldn't be measured, calculated or estimated)
    55 	55           	invalid impedance (couldn't be measured, calculated or estimated)
    56 	56           	invalid impedance (couldn't be measured, calculated or estimated)
    57 	57           	invalid impedance (couldn't be measured, calculated or estimated)
    58 	58           	invalid impedance (couldn't be measured, calculated or estimated)
    59 	59           	invalid impedance (couldn't be measured, calculated or estimated)
    60 	60           	invalid impedance (couldn't be measured, calculated or estimated)
    61 	61           	invalid impedance (couldn't be measured, calculated or estimated)
    62 	62           	invalid impedance (couldn't be measured, calculated or estimated)
    63 	63           	invalid impedance (couldn't be measured, calculated or estimated)
    64 	64           	invalid impedance (couldn't be measured, calculated or estimated)
    65 	65           	invalid impedance (couldn't be measured, calculated or estimated)
    66 	66           	invalid impedance (couldn't be measured, calculated or estimated)
    67 	67           	invalid impedance (couldn't be measured, calculated or estimated)
    68 	68           	invalid impedance (couldn't be measured, calculated or estimated)
    69 	69           	invalid impedance (couldn't be measured, calculated or estimated)
    70 	70           	invalid impedance (couldn't be measured, calculated or estimated)
    71 	71           	invalid impedance (couldn't be measured, calculated or estimated)
    72 	72           	invalid impedance (couldn't be measured, calculated or estimated)
    73 	73           	invalid impedance (couldn't be measured, calculated or estimated)
    74 	74           	invalid impedance (couldn't be measured, calculated or estimated)
    75 	75           	invalid impedance (couldn't be measured, calculated or estimated)
    76 	76           	invalid impedance (couldn't be measured, calculated or estimated)
    77 	77           	invalid impedance (couldn't be measured, calculated or estimated)
    78 	78           	invalid impedance (couldn't be measured, calculated or estimated)
    79 	79           	invalid impedance (couldn't be measured, calculated or estimated)
    80 	80           	invalid impedance (couldn't be measured, calculated or estimated)
